PATOLOGY_ID,MARKER_ID,NOTE
SEPTIC-ARTHRITIS,35004-1,TODO: needed?
SEPTIC-ARTHRITIS,TODO,"Culture of joint fluid - to detect the presence of bacteria, mycobacteria, or yeast in the joint in order to determine the antimicrobials to which they are susceptible and to evaluate the effectiveness of treatment"
SEPTIC-ARTHRITIS,TODO,Blood culture - to determine if a microbe is present in the blood
SEPTIC-ARTHRITIS,58410-2,Complete blood count (CBC) - to determine the presence and number of red and white blood cells that would indicate reaction to an infection to help evaluate and monitor the condition
SEPTIC-ARTHRITIS,30341-2,Erythrocyte sedimentation rate (ESR) - to detect inflammation; useful in following response to therapy (or CRP)
SEPTIC-ARTHRITIS,1988-5,C-reactive protein (CRP) - to detect inflammation; useful in following response to therapy (or ESR)
SEPTIC-ARTHRITIS,Non-laboratory test,X-ray of joint(s) - to help evaluate joint damage; may not show abnormalities until significant damage exists
ANKYLOSING-SPONDYLITIS,1988-5,C-reactive protein (CRP) - increased if inflammation
ANKYLOSING-SPONDYLITIS,30341-2,Erythrocyte sedimentation rate (ESR) - increased for inflammation
ANKYLOSING-SPONDYLITIS,58410-2,"Complete blood count (CBC) - to check for anemia (a low red blood cell count), which is a complication of the chronic inflammation associated with ankylosing spondylitis, and to check for increased numbers of white blood cells, which is a marker of inflammation"
ANKYLOSING-SPONDYLITIS,4821-5,"HLA-B27 antigen test - to determine if someone has this human leukocyte antigen attached to their cells, which correlates with an increased risk of developing ankylosing spondylitis. The test does not diagnose ankylosing spondylitis, but these results, along with other test results and evaluation of physical signs and symptoms help support or rule out a diagnosis of ankylosing spondylitis."
ANKYLOSING-SPONDYLITIS,Non-laboratory test,"X-rays or other imaging tests - to look for changes in the spine and hips, although it may take several years before characteristic degenerative changes are visible"
REACTIVE-ARTHRITIS,4821-5,"HLA-B27 antigen - to look for a specific protein that is found on cell surfaces; being positive for this protein suggests a greater than average risk for developing certain autoimmune disorders, including reactive arthritis."
REACTIVE-ARTHRITIS,30341-2,Erythrocyte sedimentation rate (ESR) - to check for inflammation; increased with reactive arthritis as well as other diseases
REACTIVE-ARTHRITIS,1988-5,C-reactive protein (CRP) - to check for inflammation; increased with reactive arthritis as well as other diseases
REACTIVE-ARTHRITIS,79399-2,Synovial fluid analysis - to look for an infection in the joint (healthcare practitioners may also order tests to identify the infection that triggered the reaction)
REACTIVE-ARTHRITIS,35004-1,TODO: needed?
REACTIVE-ARTHRITIS,21613-5,"Chlamydia test - to look for evidence of infection by the bacterium Chlamydia trachomatis; if this is positive, early treatment can reduce arthritis progression (healthcare practitioners may also order tests to identify the infection that triggered the reaction)"
REACTIVE-ARTHRITIS,TODO,"Stool culture - to look for Salmonella, Shigella, Campylobacter, E. coli, Yersinia (healthcare practitioners may also order tests to identify the infection that triggered the reaction)"
REACTIVE-ARTHRITIS,TODO,Urinalysis and urine culture--to detect a urinary tract infection (healthcare practitioners may also order tests to identify the infection that triggered the reaction)
